"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NMI",54.9512635318319,1.51348061407985,0.2803332854369,5.39886161474221,6.70650779918806e-08,9.23621077610328e-06
"JAK2",39.9722923095092,1.78781118213542,0.33258061526047,5.37557241793917,7.63397606920735e-08,1.03591279915872e-05
"IFITM2",260.852945207224,0.747393472092249,0.139109478039154,5.37269985214009,7.7566383648428e-08,1.04045942204271e-05
"ROBO4",38.7872244187608,1.73041880351727,0.323554654212709,5.34814993691814,8.88578407944983e-08,1.17837613871795e-05
"VDR",32.5239673304773,1.91644712640494,0.358952839131131,5.33899420058586,9.34636336177532e-08,1.22552876889796e-05
"CCND1",392.639382575025,-0.704340276771772,0.132087936116821,-5.33235886242359,9.69451126249134e-08,1.25705496036971e-05
"IFI6",42.7360524903515,2.28581883638792,0.42910249418713,5.32697634563523,9.98611626573342e-08,1.26696996824877e-05
"TMCC3",14.5851428277206,-2.62916759406852,0.4935605720926,-5.32694008137921,9.98810943263808e-08,1.26696996824877e-05
"CCL2",22.7879799898774,6.37194894401122,1.22512914494929,5.20104265764973,1.98173606815981e-07,2.48675913069086e-05
"UBE2L6",58.2015349236444,1.56754511178275,0.301786194949761,5.19422405005538,2.05575447036849e-07,2.55219730523408e-05
"CDC42EP4",59.1067199821961,1.26785551124454,0.244947567097717,5.17602818540655,2.26659230689613e-07,2.78432970752398e-05
"HAPLN3",17.7404920644639,3.72669553627509,0.721415514675586,5.16581007819184,2.39399785583879e-07,2.91020364350403e-05
"ARID4B",156.782785589943,0.887417424882901,0.17232800993945,5.14958320005383,2.61065949404313e-07,3.14086559747251e-05
"C11orf68",73.2011686991526,-1.12632034161027,0.219400236900126,-5.13363320625305,2.84201716888131e-07,3.38432044498417e-05
"RPLP0P2",49.876606698134,1.37570361165683,0.269042849854792,5.11332530263981,3.1653649476287e-07,3.73129383220474e-05
"RBCK1",240.807654486374,0.761488495772122,0.149888507585881,5.08036612036992,3.76708140844403e-07,4.39618400365418e-05
"ATF3",27.977557503608,1.99542579897207,0.39617518806434,5.03672582001274,4.73562348913832e-07,5.4717550612123e-05
"AXL",395.16160558241,-0.557440384102888,0.110929820657526,-5.02516258296205,5.03006217910907e-07,5.64431015675027e-05
"TMEM51",108.661189152081,0.909667341747468,0.18100073744243,5.02576594217911,5.01427155116496e-07,5.64431015675027e-05
"WSB1",122.699002619456,1.07953011723923,0.214716758313791,5.02769381261609,4.96413664880012e-07,5.64431015675027e-05
"FAM126A",86.9932523870012,1.04664837310884,0.20901372819876,5.00755803041577,5.51249345779116e-07,6.12674272880217e-05
"ARL4C",680.717116542532,-0.571449915564988,0.114573182252598,-4.98764112447464,6.11209701148417e-07,6.60446038185373e-05
"FRMD8",82.2853557305989,1.26541451985827,0.253604122673006,4.98972377310238,6.04656932221463e-07,6.60446038185373e-05
"PVR",170.934239420608,0.781161212518327,0.156577106805364,4.98898739704881,6.06966062196964e-07,6.60446038185373e-05
"NCOA7",97.8682114921456,1.26605072794644,0.254610702896625,4.97249610304275,6.60963002669008e-07,7.07654884508929e-05
"IFNAR2",44.6379801919455,1.58601875957542,0.322189684843471,4.92262426199631,8.53913084124793e-07,9.05924153794212e-05
"KLF6",332.525494370665,0.791521945709299,0.161274612960597,4.90791409248451,9.20501559779537e-07,9.59129750234572e-05
"NR2F2",412.262115428291,-0.846550353218336,0.172474904805133,-4.90825232908402,9.18915791064394e-07,9.59129750234572e-05
"LMO4",127.263352382224,1.00486348723286,0.205687462194019,4.88539007926991,1.0322428203246e-06,0.000106604192152107
"UGCG",411.430727129611,-0.56278047005687,0.115440552712298,-4.87506735574489,1.08771335496322e-06,0.000111347498705446
"ARGLU1",334.010848605335,0.634233603202489,0.130454069578581,4.86173873495336,1.1635913554546e-06,0.000118079227114393
"NR3C1",225.870597747758,-0.685884910247671,0.141690254447626,-4.84073455102166,1.29360073102809e-06,0.000130140694233602
"PFKFB3",167.883012388747,0.795233070969251,0.16457041525915,4.83217514956739,1.35049360305557e-06,0.000134703079894518
"CASP7",32.3382063219732,1.70590832583023,0.354753343687713,4.80871669339902,1.51902306794392e-06,0.000150228806804284
"MIR155HG",35.8177102497589,1.69537750129132,0.352802994941998,4.80545098992158,1.54403059092155e-06,0.000151418798286172
"GBP4",15.7320589366102,4.32407314750726,0.903735916485958,4.78466448951235,1.7127318574789e-06,0.000166563173139823
"P2RY6",9.05321449363917,6.00120342303566,1.25572132134454,4.77908857724097,1.76091609194167e-06,0.000169833808206275
"SAMHD1",33.5286343022026,1.59843346186179,0.338017865827992,4.72884312770376,2.25802760264965e-06,0.00021599329608952
"BCAR3",146.807434106755,-0.714981216329726,0.151311773238292,-4.72521867286391,2.29867863413589e-06,0.00021809414358021
"PIK3IP1",8.44968354103127,5.89545721540402,1.25374264496159,4.70228658097902,2.57264066193641e-06,0.000242118681651596
"TM4SF1",467.18644033649,0.747888070504893,0.160199216846484,4.66848768194406,3.03424966410357e-06,0.000283277548640709
"TEX29",15.2396936220419,4.26860014982893,0.917826128973799,4.65077209623739,3.30694617163312e-06,0.000306286204944115
