"","baseMean","log2FoldChange","pvalue","padj"
AP2S1,2075.32138077634,0.711851297202054,3.70341216892986e-11,3.66877594001181e-09
PHB,1367.52242541951,0.846230730038613,3.85029553987262e-11,3.78704068457471e-09
LUC7L3,3652.04843810017,-0.642712049049295,3.92772311817493e-11,3.83579768349424e-09
PHF10,1376.5891822057,-0.725261113434083,4.09657623555673e-11,3.97252498335325e-09
CLDN4,5125.61436353918,0.664272060040328,4.54624844755826e-11,4.37775112747393e-09
ZMAT1,98.3311996455264,-2.01077232177249,4.58753376995152e-11,4.38682916751614e-09
SPOCK3,626.273385610191,-0.892383580118477,5.01761630083388e-11,4.73135118554182e-09
EFCAB1,1088.66241972446,-0.778453740926222,5.03650914328791e-11,4.73135118554182e-09
JUP,4865.03928643389,0.605886898103304,5.05089777977231e-11,4.73135118554182e-09
SH3GL1,1387.00649211379,0.717594911630938,5.37084026898034e-11,4.99705881782833e-09
DDX5,18860.8457329513,-0.537165478633096,5.51690551278199e-11,5.09850932288644e-09
RSRP1,924.393510850336,-0.838843290793198,5.97286806886332e-11,5.44973155380645e-09
COTL1,390.303534123286,1.15228862801037,5.97610359204629e-11,5.44973155380645e-09
EIF4G1,8209.6978998602,0.556483596904743,6.04947978244133e-11,5.48035109238271e-09
NOTCH1,698.647205592742,0.939739870814604,7.10051472434327e-11,6.39046325190895e-09
DDX54,1000.50442343663,0.841194409614619,7.17809432564164e-11,6.41833499117438e-09
CADPS2,963.678468982718,-0.792811876381231,9.76081458199635e-11,8.67138172865095e-09
GABRP,3446.15424079144,-0.611014597963738,1.0305463221218e-10,9.09655311257513e-09
MAATS1,549.062011103893,-0.942823036055561,1.05302033427461e-10,9.2357261165359e-09
JHDM1D-AS1,846.398481733865,0.807918516443488,1.07090069775094e-10,9.33310291647493e-09
MIR22HG,645.071587930753,-0.85507520232927,1.12018507430078e-10,9.70122545479354e-09
C1RL,1556.71552402985,-0.678877191181125,1.17273671677978e-10,1.0092865368786e-08
VPS37B,2427.12085559332,0.621660140734171,1.24466576471932e-10,1.06453711678168e-08
